               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044217,            0.063322,            0.016866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.042158,            0.063647,            0.015043,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.086495,            0.001495,            0.001495
                   2,            0.043619,            0.063043,             0.01613,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.079285,           0.0022848,           0.0022848
                   3,            0.044973,            0.066149,            0.014209,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.072069,           0.0030693,           0.0030693
                   4,            0.043475,            0.062903,            0.013312,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.064849,           0.0038485,           0.0038485
                   5,            0.044805,            0.056802,            0.011869,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.057622,           0.0046225,           0.0046225
                   6,            0.048211,             0.05473,            0.013047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050391,           0.0053911,           0.0053911
                   7,            0.050556,            0.058543,            0.012099,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043154,           0.0061545,           0.0061545
                   8,            0.052849,            0.055966,            0.010883,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.035913,           0.0069126,           0.0069126
                   9,            0.053332,            0.057241,            0.011777,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028665,           0.0076654,           0.0076654
                  10,             0.04454,            0.051525,            0.011162,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.021413,           0.0084129,           0.0084129
                  11,            0.053089,            0.047868,            0.011927,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.014155,           0.0091552,           0.0091552
                  12,            0.054176,            0.055226,            0.011585,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  13,            0.049919,            0.050753,            0.011999,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  14,            0.051545,            0.059711,            0.013084,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  15,            0.051073,            0.051198,            0.011678,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  16,            0.048656,            0.047924,            0.011551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  17,            0.046965,             0.04534,             0.01009,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  18,            0.048562,            0.050195,            0.011408,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  19,            0.046341,            0.047953,            0.010193,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  20,            0.046645,            0.051448,           0.0099332,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  21,            0.045898,            0.049675,            0.010723,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  22,            0.046879,            0.053658,            0.010926,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  23,            0.045886,            0.049562,             0.00967,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  24,            0.044538,            0.052974,           0.0099032,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  25,            0.043853,            0.045813,            0.010494,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  26,            0.044413,            0.048412,           0.0090319,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  27,            0.046516,             0.04811,           0.0085402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  28,            0.046463,            0.048052,           0.0095241,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  29,            0.044091,            0.045679,           0.0092285,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
                  30,            0.044445,            0.052415,            0.009018,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  31,            0.047953,             0.05357,           0.0094176,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008977,            0.008977,            0.008977
                  32,            0.047991,            0.043812,           0.0087749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  33,            0.043184,            0.050264,           0.0090209,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  34,            0.043864,            0.050162,           0.0088222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  35,            0.042396,            0.043119,           0.0078048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008845,            0.008845,            0.008845
                  36,            0.043858,            0.043692,           0.0085975,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  37,            0.044097,              0.0446,           0.0093522,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008779,            0.008779,            0.008779
                  38,            0.045832,            0.052383,            0.008653,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  39,              0.0433,            0.049229,           0.0082467,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  40,            0.041848,            0.048823,           0.0082083,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  41,            0.040902,            0.044726,            0.008253,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  42,            0.044211,            0.047843,           0.0079195,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  43,              0.0436,            0.038563,           0.0078377,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
