               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044217,            0.063312,            0.016866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.042158,            0.063671,            0.015043,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.086495,            0.001495,            0.001495
                   2,            0.043625,            0.063038,            0.016132,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.079285,           0.0022848,           0.0022848
                   3,            0.044939,            0.066113,            0.014211,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.072069,           0.0030693,           0.0030693
                   4,            0.043429,            0.062942,            0.013319,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.064849,           0.0038485,           0.0038485
                   5,            0.044877,            0.056783,            0.011877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.057622,           0.0046225,           0.0046225
                   6,            0.047423,            0.054875,            0.013046,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050391,           0.0053911,           0.0053911
                   7,            0.047494,            0.059315,            0.012113,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043154,           0.0061545,           0.0061545
                   8,            0.051669,            0.056132,             0.01086,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.035913,           0.0069126,           0.0069126
                   9,             0.05405,            0.057269,            0.011715,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028665,           0.0076654,           0.0076654
                  10,            0.048656,            0.051046,            0.011103,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.021413,           0.0084129,           0.0084129
                  11,            0.054014,            0.048283,            0.012118,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.014155,           0.0091552,           0.0091552
                  12,            0.050486,            0.055977,            0.011816,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  13,            0.049498,            0.050697,            0.011964,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.055576,            0.059144,            0.012625,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.050805,            0.050292,            0.011623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.047108,            0.047244,            0.011603,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.045604,            0.044957,            0.010095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.047395,            0.049828,            0.011231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.045746,            0.047219,            0.010187,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
